Voyage_ID,Vessel_IMO,Departure_Port,Arrival_Port,Distance_NM,Travel_Time_Hours,Average_Speed,Cargo_Weight,Fuel_Consumed,Arrival_Delay
VOY-10030,9800003,Port of Tangier Med,Port of Colon (Panama),5397.7,385.6,14.0,36200.0,1493.92,1.5
VOY-10031,9800003,Port of Rotterdam,Jawaharlal Nehru Port (JNPT),4652.2,372.2,12.5,40200.0,1039.46,0.0
VOY-10032,9800003,Port of Sydney,Port of Valencia,11755.7,890.6,13.2,36600.0,2709.44,12.0
VOY-10033,9800003,Jawaharlal Nehru Port (JNPT),Port of Le Havre,4852.1,370.4,13.1,50800.0,1410.83,3.0
VOY-10034,9800003,Port of Savannah,Port of Cape Town,8583.6,596.1,14.4,48300.0,2934.77,12.0
VOY-10035,9800003,Port of Hamburg,Port of Salalah,3750.4,279.9,13.4,41300.0,963.03,6.5
VOY-10036,9800003,Port of Colombo,Port of Salalah,2038.8,143.6,14.2,39100.0,572.62,0.0
VOY-10037,9800003,King Abdullah Port,Port of Cape Town,4487.4,353.3,12.7,43700.0,1098.62,1.5
VOY-10038,9800003,Port of Durban,Port of Mundra,4840.0,336.1,14.4,50100.0,1587.61,24.0
VOY-10039,9800003,Port of Salalah,Port of Chennai,1924.4,139.4,13.8,38500.0,514.4,0.0
VOY-10040,9800003,Port of Savannah,Port of Santos,4888.8,381.9,12.8,37700.0,1129.27,12.0
VOY-10041,9800003,Port of Klang,Port of Durban,5602.2,397.3,14.1,46300.0,1679.42,3.0
VOY-10042,9800004,Port of Mundra,Port of Kaohsiung,3484.2,288.0,12.1,18100.0,212.58,24.0
VOY-10043,9800004,Port of Klang,Port of Shenzhen,1732.0,128.3,13.5,19100.0,129.92,0.0
VOY-10044,9800004,Port of Long Beach,Port of Rotterdam,6059.9,480.9,12.6,25900.0,450.27,3.0
VOY-10045,9800004,Port of Tangier Med,Port of Felixstowe,1260.7,99.3,12.7,22400.0,91.09,0.0
VOY-10046,9800004,Port of Ningbo-Zhoushan,Port of Mundra,3497.4,293.9,11.9,20800.0,211.96,3.0
VOY-10047,9800004,Port of Algeciras,Port of Busan,7285.3,597.2,12.2,23700.0,496.44,0.0
VOY-10048,9800004,Port of Tanjung Pelepas,Port of Hamburg,6830.7,564.5,12.1,25200.0,451.61,24.0
VOY-10049,9800004,Port of Antwerp-Bruges,Port of Piraeus,1423.9,102.4,13.9,22900.0,125.79,1.5
VOY-10050,9800004,Port of Antwerp-Bruges,Port of Buenos Aires,7650.8,602.4,12.7,24300.0,567.9,0.0
VOY-10051,9800004,Port of Santos,Port of Le Havre,6322.9,448.4,14.1,18800.0,521.56,1.5
VOY-10052,9800005,Port of Colombo,Port of Valencia,5859.7,320.2,18.3,150500.0,1122.1,12.0
VOY-10053,9800005,Port of Algeciras,Port of Chennai,5923.3,352.6,16.8,152800.0,937.65,6.5
VOY-10054,9800005,Port of Shenzhen,Jawaharlal Nehru Port (JNPT),2888.8,165.1,17.5,150100.0,510.9,0.0
VOY-10055,9800005,Port of Klang,Port of Ningbo-Zhoushan,2473.5,128.2,19.3,150900.0,515.7,0.0
VOY-10056,9800005,Port of Colombo,Port of Felixstowe,5814.7,338.1,17.2,144800.0,915.46,24.0
VOY-10057,9800005,Port of Buenos Aires,Port of Felixstowe,7583.8,416.7,18.2,185600.0,1612.1,12.0
VOY-10058,9800005,Port of Vancouver,Port of Shanghai,6091.1,366.9,16.6,192400.0,1110.49,6.5
VOY-10059,9800005,Port of Tanjung Pelepas,Port of Colon (Panama),12664.1,656.2,19.3,163900.0,2789.35,0.0
VOY-10060,9800005,Port of Tanjung Pelepas,Port of Port Said,5502.6,327.5,16.8,183500.0,947.25,3.0
VOY-10061,9800005,Port of Busan,Port of Los Angeles,6504.1,373.8,17.4,206500.0,1252.27,6.5
VOY-10062,9800006,Port of Tanjung Pelepas,Port of Chennai,1940.6,109.0,17.8,113200.0,747.11,0.0
VOY-10063,9800006,Port of Kaohsiung,Port of Santos,12582.7,699.0,18.0,92200.0,4488.65,0.0
VOY-10064,9800006,Port of Genoa,Port of Antwerp-Bruges,560.0,30.4,18.4,111600.0,240.19,1.5
VOY-10065,9800006,Port of Melbourne,Port of Klang,4303.8,243.2,17.7,87000.0,1511.76,0.0
VOY-10066,9800006,Port of Klang,Port of Shanghai,2550.6,154.6,16.5,97200.0,834.72,1.5
VOY-10067,9800006,Jawaharlal Nehru Port (JNPT),Port of Singapore,2630.4,156.6,16.8,89700.0,787.85,24.0
VOY-10068,9800006,Port of Genoa,Port of Busan,6280.4,341.3,18.4,85800.0,2406.37,24.0
VOY-10069,9800006,Port of Valencia,Port of Singapore,7512.6,429.3,17.5,98200.0,2727.63,6.5
VOY-10070,9800006,Port of Rotterdam,Port of Mundra,4282.6,226.6,18.9,83100.0,1588.13,6.5
VOY-10071,9800006,Jawaharlal Nehru Port (JNPT),Port of Shenzhen,2888.8,177.2,16.3,117800.0,1006.14,3.0
VOY-10072,9800007,Port of Kaohsiung,Port of Mundra,3484.2,211.2,16.5,60300.0,1820.4,0.0
VOY-10073,9800007,Port of Ningbo-Zhoushan,Port of Klang,2473.5,136.7,18.1,65300.0,1638.08,0.0
VOY-10074,9800007,Port of Hong Kong,Port of Los Angeles,7876.7,423.5,18.6,78700.0,5876.88,0.0
VOY-10075,9800007,Port of Salalah,Port of Shenzhen,4236.1,220.6,19.2,54500.0,2862.84,12.0
VOY-10076,9800007,Port of Colombo,Port of Vancouver,9029.7,507.3,17.8,73900.0,5554.52,24.0
VOY-10077,9800007,Port of Port Said,Port of Tangier Med,2374.4,127.7,18.6,61600.0,1491.51,0.0
VOY-10078,9800007,Port of Cape Town,Port of Durban,858.0,44.5,19.3,57900.0,565.72,12.0
VOY-10079,9800007,Port of Valencia,Port of Tangier Med,406.1,22.4,18.1,67400.0,271.9,0.0
VOY-10080,9800007,Port of Long Beach,Port of Tangier Med,6470.3,385.1,16.8,66600.0,3692.42,0.0
VOY-10081,9800007,Port of Tanjung Pelepas,Port of Rotterdam,7092.4,387.6,18.3,74600.0,4929.54,6.5
VOY-10082,9800007,Port of Algeciras,Port of Piraeus,1741.6,92.6,18.8,60600.0,1108.29,0.0
VOY-10083,9800007,Port of Mundra,Port of New York & New Jersey,8109.4,471.5,17.2,58000.0,4357.87,0.0
VOY-10084,9800007,Port of Sydney,Port of Tokyo,5282.0,314.4,16.8,55300.0,2475.3,24.0
VOY-10085,9800008,Port of Ningbo-Zhoushan,Port of Mundra,3497.4,202.2,17.3,66200.0,1970.13,0.0
VOY-10086,9800008,Port of Busan,Port of Los Angeles,6504.1,367.5,17.7,63600.0,3734.03,0.0
VOY-10087,9800008,Port of Tangier Med,Port of Chennai,5928.9,348.8,17.0,52100.0,2862.68,3.0
VOY-10088,9800008,Port of Hamburg,Port of Sydney,10986.5,646.3,17.0,60700.0,5937.5,0.0
VOY-10089,9800008,Port of New York & New Jersey,Port of Tokyo,7324.3,466.5,15.7,47400.0,2825.08,12.0
VOY-10090,9800008,Port of Colombo,Port of Mundra,1401.7,88.2,15.9,54400.0,570.8,6.5
VOY-10091,9800008,Port of Salalah,Port of Tanjung Pelepas,3838.0,246.0,15.6,52600.0,1515.22,6.5
VOY-10092,9800008,Port of Colombo,Port of Buenos Aires,9958.4,559.5,17.8,52800.0,5564.57,1.5
VOY-10093,9800008,Port of Singapore,Port of Vancouver,8656.1,491.8,17.6,48700.0,4195.29,3.0
VOY-10094,9800008,Port of Genoa,Port of Shanghai,6199.4,385.1,16.1,63100.0,2910.14,6.5
VOY-10095,9800008,Port of Singapore,Port of Jebel Ali (Dubai),3952.9,238.1,16.6,62300.0,1850.16,6.5
VOY-10096,9800008,Port of Cape Town,Port of Algeciras,5518.2,315.3,17.5,59600.0,2842.94,6.5
VOY-10097,9800008,Port of Melbourne,Port of Genoa,11004.4,658.9,16.7,58200.0,5610.99,12.0
VOY-10098,9800008,Port of Le Havre,Port of Tangier Med,1066.3,62.0,17.2,47800.0,523.36,6.5
VOY-10099,9800009,Port of Chennai,Port of Jebel Ali (Dubai),1994.6,130.4,15.3,41300.0,629.74,0.0
VOY-10100,9800009,Port of Kaohsiung,Port of Hamburg,6241.0,380.5,16.4,28400.0,1802.83,12.0
VOY-10101,9800009,Port of Hamburg,Port of Vancouver,5240.8,349.4,15.0,39700.0,1491.21,6.5
VOY-10102,9800009,Port of Colon (Panama),Port of Kaohsiung,10686.1,703.0,15.2,32200.0,2792.2,12.0
VOY-10103,9800009,Jawaharlal Nehru Port (JNPT),Port of Ningbo-Zhoushan,3394.9,223.3,15.2,32700.0,971.07,12.0
VOY-10104,9800009,Port of Chennai,Port of Le Havre,5533.3,357.0,15.5,37700.0,1782.32,12.0
VOY-10105,9800009,Port of Sydney,Port of Cape Town,7432.3,442.4,16.8,37600.0,2877.54,0.0
VOY-10106,9800009,Port of Le Havre,Port of Algeciras,1047.2,69.8,15.0,37600.0,307.51,0.0
VOY-10107,9800009,Port of Port Said,Port of Santos,6999.1,443.0,15.8,30900.0,2104.81,1.5
VOY-10108,9800009,Port of Port Said,Port of Vancouver,7244.5,426.1,17.0,28700.0,2322.95,1.5
VOY-10109,9800009,Port of Kaohsiung,Port of Busan,1103.2,64.5,17.1,29300.0,387.36,0.0
VOY-10110,9800009,Port of Sydney,Port of Busan,5410.2,342.4,15.8,32400.0,1652.91,0.0
VOY-10111,9800009,Port of Valencia,Port of Vancouver,5847.3,384.7,15.2,34400.0,1647.52,24.0
VOY-10112,9800010,King Abdullah Port,Port of Singapore,4973.5,340.7,14.6,18700.0,859.76,3.0
VOY-10113,9800010,Port of Santos,Port of Vancouver,7496.0,517.0,14.5,16700.0,1174.65,0.0
VOY-10114,9800010,Port of Singapore,Port of Ningbo-Zhoushan,2488.5,150.8,16.5,15700.0,534.15,24.0
VOY-10115,9800010,Port of Genoa,Port of Tangier Med,1044.2,66.1,15.8,16200.0,193.28,6.5
VOY-10116,9800010,Port of Algeciras,Port of Tangier Med,19.2,1.2,15.5,21400.0,3.85,3.0
VOY-10117,9800010,Port of Yokohama,Port of Durban,9077.2,581.9,15.6,15400.0,1592.56,0.0
VOY-10118,9800010,Port of Yokohama,Port of Cape Town,9934.8,675.8,14.7,21200.0,1919.35,0.0
VOY-10119,9800010,Port of Busan,Port of Melbourne,5588.7,375.1,14.9,16700.0,899.77,3.0
VOY-10120,9800010,Port of Kaohsiung,Port of Cape Town,8395.2,559.7,15.0,16000.0,1496.52,3.0
VOY-10121,9800010,Port of New York & New Jersey,Port of Houston,1539.8,91.1,16.9,18600.0,375.09,0.0
VOY-10122,9800010,Port of Hong Kong,Port of Long Beach,7878.9,471.8,16.7,17700.0,1818.49,12.0
VOY-10123,9800010,Port of Buenos Aires,Port of Cape Town,4636.7,289.8,16.0,18900.0,981.81,0.0
VOY-10124,9800010,Port of Port Said,Port of Kaohsiung,5768.9,365.1,15.8,15900.0,1112.57,0.0
VOY-10125,9800011,Port of Chennai,Port of Le Havre,5533.3,389.7,14.2,176200.0,1944.14,0.0
VOY-10126,9800011,Port of Singapore,Port of Shenzhen,1760.2,134.4,13.1,257300.0,635.72,6.5
VOY-10127,9800011,Port of Melbourne,Port of Vancouver,8916.8,632.4,14.1,251700.0,3392.87,0.0
VOY-10128,9800011,Port of Rotterdam,Port of Sydney,11264.6,816.3,13.8,252900.0,4575.66,0.0
VOY-10129,9800011,Port of Hamburg,Port of Santos,6864.9,460.7,14.9,256300.0,3277.03,0.0
VOY-10130,9800011,Port of Colon (Panama),Port of Cape Town,7661.3,576.0,13.3,214300.0,2535.0,12.0
VOY-10131,9800011,Port of Kaohsiung,Port of Los Angeles,7561.4,504.1,15.0,257100.0,3673.33,0.0
VOY-10132,9800011,Port of Santos,Jawaharlal Nehru Port (JNPT),9282.7,606.7,15.3,218800.0,4344.04,1.5
VOY-10133,9800011,Jawaharlal Nehru Port (JNPT),Port of Long Beach,9472.9,671.8,14.1,240500.0,3745.18,0.0
VOY-10134,9800011,Port of Tangier Med,Port of Vancouver,5891.8,382.6,15.4,240800.0,2893.49,0.0
VOY-10135,9800012,Port of Los Angeles,Port of Tokyo,5965.1,448.5,13.3,116900.0,1194.52,0.0
VOY-10136,9800012,Port of Singapore,Port of Busan,3093.5,236.1,13.1,122100.0,601.3,1.5
VOY-10137,9800012,Port of Chennai,Port of Durban,4801.5,369.3,13.0,122500.0,926.18,1.5
VOY-10138,9800012,Port of Hamburg,Port of Sydney,10986.5,796.1,13.8,119100.0,2370.23,24.0
VOY-10139,9800012,Port of Rotterdam,Port of Shanghai,6025.3,439.8,13.7,132900.0,1298.14,0.0
VOY-10140,9800012,Port of Port Said,Port of Ningbo-Zhoushan,5586.7,407.8,13.7,120500.0,1127.49,0.0
VOY-10141,9800012,Port of Singapore,Port of Tangier Med,7864.4,527.8,14.9,116300.0,1798.24,3.0
VOY-10142,9800012,Port of Mundra,Port of Busan,3947.5,278.0,14.2,113000.0,838.97,12.0
VOY-10143,9800012,Port of Yokohama,Port of Los Angeles,5975.5,401.0,14.9,123500.0,1453.37,12.0
VOY-10144,9800012,Port of Buenos Aires,Port of Vancouver,7626.1,537.0,14.2,116400.0,1616.11,24.0
VOY-10145,9800012,Port of Sydney,Port of Shanghai,5319.5,352.3,15.1,129400.0,1329.65,12.0
VOY-10146,9800012,Port of Algeciras,Port of Valencia,391.2,27.2,14.4,129400.0,92.86,0.0
VOY-10147,9800012,Port of Cape Town,Port of Hamburg,6588.0,467.2,14.1,95700.0,1252.56,1.5
VOY-10148,9800013,Port of Cape Town,Port of Houston,9350.3,649.3,14.4,85200.0,4332.91,6.5
VOY-10149,9800013,Port of Chennai,Port of Durban,4801.5,353.1,13.6,71700.0,1914.56,24.0
VOY-10150,9800013,King Abdullah Port,Port of Klang,4753.4,330.1,14.4,76800.0,2162.12,24.0
VOY-10151,9800013,Port of Tanjung Pelepas,Port of Cape Town,6508.3,464.9,14.0,76300.0,2966.32,0.0
VOY-10152,9800013,Port of Genoa,Port of Colon (Panama),6202.7,427.8,14.5,73100.0,2831.9,24.0
VOY-10153,9800013,King Abdullah Port,Port of New York & New Jersey,6860.8,504.5,13.6,69200.0,2681.76,3.0
VOY-10154,9800013,Port of Piraeus,Port of Jebel Ali (Dubai),2218.1,169.3,13.1,73900.0,846.07,3.0
VOY-10155,9800013,Port of Yokohama,Port of Felixstowe,6401.5,454.0,14.1,67300.0,2612.18,6.5
VOY-10156,9800013,Jawaharlal Nehru Port (JNPT),Port of Piraeus,3503.7,236.7,14.8,74700.0,1681.99,12.0
VOY-10157,9800013,Port of Salalah,Port of Buenos Aires,8836.0,617.9,14.3,66600.0,3631.58,0.0
VOY-10158,9800013,Port of Tangier Med,Port of Houston,5477.6,365.2,15.0,84800.0,2815.62,0.0
VOY-10159,9800013,Port of Yokohama,Port of Ningbo-Zhoushan,1215.2,91.4,13.3,62900.0,424.6,12.0
VOY-10160,9800014,Port of Salalah,Port of Santos,7953.4,580.5,13.7,27100.0,817.0,0.0
VOY-10161,9800014,Port of Jebel Ali (Dubai),Port of Vancouver,7932.0,558.6,14.2,31100.0,859.24,1.5
VOY-10162,9800014,Port of Singapore,Port of Santos,10754.9,752.1,14.3,34000.0,1249.07,0.0
VOY-10163,9800014,Port of Antwerp-Bruges,Port of Long Beach,6094.8,468.8,13.0,37200.0,633.69,24.0
VOY-10164,9800014,Port of Colombo,Port of Tokyo,4620.8,342.3,13.5,31900.0,499.45,0.0
VOY-10165,9800014,Port of Tanjung Pelepas,Port of Genoa,6929.5,491.5,14.1,38600.0,818.75,1.5
VOY-10166,9800014,Port of Ningbo-Zhoushan,Port of Hamburg,5838.8,420.1,13.9,36500.0,679.88,6.5
VOY-10167,9800014,Port of Port Said,Jawaharlal Nehru Port (JNPT),2894.2,235.3,12.3,39300.0,269.25,3.0
VOY-10168,9800014,Port of Tokyo,Port of Santos,12548.1,980.3,12.8,33900.0,1244.21,3.0
VOY-10169,9800014,Port of Le Havre,Port of Genoa,591.7,43.5,13.6,33000.0,63.12,0.0
VOY-10170,9800014,Port of Port Said,Port of Yokohama,6352.0,470.5,13.5,28500.0,650.86,0.0
VOY-10171,9800014,Port of Shanghai,Port of Yokohama,1180.0,86.1,13.7,29100.0,118.61,0.0
VOY-10172,9800014,Port of Shenzhen,Port of Chennai,2509.7,194.6,12.9,30300.0,242.8,3.0
VOY-10173,9800015,Port of Durban,Port of Ningbo-Zhoushan,7862.4,462.5,17.0,17000.0,801.15,12.0
VOY-10174,9800015,Port of Santos,Port of Piraeus,6767.4,369.8,18.3,17800.0,819.11,0.0
VOY-10175,9800015,Port of Algeciras,Port of Tanjung Pelepas,7836.2,430.6,18.2,15900.0,890.08,6.5
VOY-10176,9800015,Port of Cape Town,Port of Durban,858.0,49.9,17.2,18600.0,93.38,12.0
VOY-10177,9800015,Port of Sydney,Port of Yokohama,5265.0,297.5,17.7,17500.0,583.13,3.0
VOY-10178,9800015,Port of Genoa,Port of Shanghai,6199.4,373.5,16.6,17300.0,647.39,3.0
VOY-10179,9800015,Port of Vancouver,Port of Salalah,8535.0,476.8,17.9,17400.0,1010.69,12.0
VOY-10180,9800015,Port of Rotterdam,Port of Kaohsiung,6518.3,404.9,16.1,21200.0,652.99,1.5
VOY-10181,9800015,Port of Rotterdam,Port of Singapore,7110.6,411.0,17.3,15600.0,702.98,6.5
VOY-10182,9800015,Port of Hamburg,Jawaharlal Nehru Port (JNPT),4419.7,272.8,16.2,20300.0,472.82,0.0
VOY-10183,9800015,Port of Singapore,Port of Mundra,2967.0,174.5,17.0,19900.0,351.03,0.0
VOY-10184,9800016,Port of Long Beach,Port of Mundra,9223.2,512.4,18.0,11400.0,815.26,24.0
VOY-10185,9800016,Port of New York & New Jersey,Port of Kaohsiung,8651.6,521.2,16.6,9800.0,598.69,1.5
VOY-10186,9800016,Port of Cape Town,Port of Hamburg,6588.0,387.5,17.0,11700.0,504.08,6.5
VOY-10187,9800016,Port of Kaohsiung,Port of Sydney,4780.3,281.2,17.0,9900.0,351.09,6.5
VOY-10188,9800016,Port of Klang,Port of Rotterdam,6896.6,442.1,15.6,9100.0,397.33,24.0
VOY-10189,9800016,Port of Valencia,Port of Cape Town,5660.9,362.9,15.6,8900.0,316.26,0.0
VOY-10190,9800016,Port of Savannah,Port of Tangier Med,4590.9,296.2,15.5,9900.0,258.57,24.0
VOY-10191,9800016,Port of Los Angeles,King Abdullah Port,8986.1,558.1,16.1,9600.0,558.43,1.5
VOY-10192,9800016,Port of Hamburg,Port of Tanjung Pelepas,6830.7,421.6,16.2,12400.0,511.2,3.0
VOY-10193,9800016,Port of Yokohama,Port of Los Angeles,5975.5,380.6,15.7,11100.0,394.2,24.0
VOY-10194,9800016,Port of Melbourne,Port of Colombo,5640.3,348.2,16.2,12500.0,397.85,6.5
VOY-10195,9800016,Port of Chennai,Port of New York & New Jersey,9093.5,541.3,16.8,8700.0,577.04,1.5
VOY-10196,9800016,Port of Felixstowe,Port of Hong Kong,6418.6,358.6,17.9,8900.0,470.76,0.0
VOY-10197,9800016,Port of Le Havre,Port of Ningbo-Zhoushan,6389.1,380.3,16.8,10800.0,489.71,0.0
VOY-10198,9800016,Port of Hamburg,Port of Sydney,10986.5,657.9,16.7,10700.0,744.37,12.0
VOY-10199,9800017,Port of Rotterdam,Port of Busan,6031.6,427.8,14.1,18200.0,1002.91,12.0
VOY-10200,9800017,Port of Rotterdam,Jawaharlal Nehru Port (JNPT),4652.2,296.3,15.7,23500.0,1073.79,0.0
VOY-10201,9800017,Port of Tokyo,Port of Houston,7249.2,493.1,14.7,18100.0,1270.95,24.0
VOY-10202,9800017,Port of Melbourne,Port of Salalah,7582.4,541.6,14.0,20500.0,1223.27,24.0
VOY-10203,9800017,Port of Genoa,Port of Algeciras,1029.4,65.6,15.7,22300.0,229.1,0.0
VOY-10204,9800017,King Abdullah Port,Port of Chennai,3016.0,218.6,13.8,20600.0,503.17,3.0
VOY-10205,9800017,Port of Algeciras,Port of Tangier Med,19.2,1.3,15.3,19400.0,4.15,0.0
VOY-10206,9800017,Port of Cape Town,Port of Buenos Aires,4636.7,313.3,14.8,24000.0,979.56,0.0
VOY-10207,9800017,Port of Shenzhen,Port of Vancouver,6909.3,466.8,14.8,20100.0,1262.29,0.0
VOY-10208,9800017,Port of Vancouver,Port of Chennai,8578.7,557.1,15.4,23100.0,1852.88,0.0
VOY-10209,9800017,Port of Hong Kong,Port of Vancouver,6919.1,467.5,14.8,22900.0,1360.22,3.0
VOY-10210,9800018,Port of Port Said,Port of Salalah,1828.3,141.7,12.9,19900.0,117.18,3.0
VOY-10211,9800018,Port of Cape Town,Port of Los Angeles,10829.9,814.3,13.3,17700.0,701.78,6.5
VOY-10212,9800018,Port of New York & New Jersey,Port of Antwerp-Bruges,3966.6,296.0,13.4,18700.0,274.52,0.0
VOY-10213,9800018,Port of Savannah,Port of Yokohama,7686.8,553.0,13.9,14900.0,477.73,24.0
VOY-10214,9800018,Port of Buenos Aires,Port of Los Angeles,6634.4,484.3,13.7,19000.0,493.0,0.0
VOY-10215,9800018,Port of Klang,King Abdullah Port,4753.4,360.1,13.2,15900.0,289.3,24.0
VOY-10216,9800018,Port of Hong Kong,Port of Los Angeles,7876.7,656.4,12.0,16900.0,402.92,3.0
VOY-10217,9800018,Port of Colombo,Port of Antwerp-Bruges,5667.4,410.7,13.8,20300.0,437.08,1.5
VOY-10218,9800018,Port of Le Havre,Port of New York & New Jersey,3819.9,278.8,13.7,15700.0,261.24,0.0
VOY-10219,9800018,Port of Hong Kong,Port of Sydney,4978.1,366.0,13.6,19200.0,337.36,6.5
VOY-10220,9800018,Port of Le Havre,Port of Vancouver,5244.0,429.8,12.2,15100.0,252.56,24.0
VOY-10221,9800019,Port of Hong Kong,Port of Jebel Ali (Dubai),4035.7,257.1,15.7,31500.0,1178.45,0.0
VOY-10222,9800019,Port of Cape Town,Port of Colon (Panama),7661.3,514.2,14.9,29200.0,1954.84,24.0
VOY-10223,9800019,Port of Colon (Panama),Port of Shenzhen,10904.0,767.9,14.2,28900.0,2740.3,12.0
VOY-10224,9800019,Port of Buenos Aires,Jawaharlal Nehru Port (JNPT),10080.2,725.2,13.9,37700.0,2518.63,6.5
VOY-10225,9800019,Port of Houston,Port of Vancouver,2151.9,141.6,15.2,37200.0,674.9,0.0
VOY-10226,9800019,Port of Rotterdam,Port of Melbourne,11193.5,823.1,13.6,32300.0,2676.24,0.0
VOY-10227,9800019,Port of Yokohama,Port of Colon (Panama),9134.3,657.1,13.9,34900.0,2172.53,0.0
VOY-10228,9800019,Port of Colon (Panama),Port of Long Beach,3209.5,227.6,14.1,35700.0,826.48,0.0
VOY-10229,9800019,Port of Mundra,Port of Le Havre,4484.0,334.6,13.4,27700.0,940.56,0.0
VOY-10230,9800019,Port of Houston,Port of Yokohama,7262.0,541.9,13.4,31400.0,1685.35,3.0
VOY-10231,9800019,Jawaharlal Nehru Port (JNPT),Port of Los Angeles,9473.8,686.5,13.8,27900.0,2073.63,24.0
VOY-10232,9800019,Jawaharlal Nehru Port (JNPT),Port of Algeciras,5239.9,344.7,15.2,28800.0,1443.06,1.5
VOY-10233,9800019,Port of Hamburg,Port of Houston,5611.8,371.6,15.1,32400.0,1576.12,6.5
VOY-10234,9800019,Port of Mundra,Port of Cape Town,5615.9,419.1,13.4,27000.0,1136.55,6.5
VOY-10235,9800020,Port of Hong Kong,Port of Valencia,6992.3,495.9,14.1,139800.0,723.8,0.0
VOY-10236,9800020,Port of Port Said,Port of Antwerp-Bruges,2148.6,146.2,14.7,172500.0,256.48,24.0
VOY-10237,9800020,Port of Colon (Panama),Port of Sydney,9548.5,707.3,13.5,170600.0,932.98,12.0
VOY-10238,9800020,Port of Salalah,Port of Mundra,1192.1,88.3,13.5,163700.0,112.98,0.0
VOY-10239,9800020,Port of Houston,Port of Mundra,9417.2,687.4,13.7,133000.0,828.51,0.0
VOY-10240,9800020,Port of Vancouver,Port of Durban,11439.9,841.2,13.6,169100.0,1167.38,0.0
VOY-10241,9800020,Port of Antwerp-Bruges,Port of Mundra,4282.3,322.0,13.3,154000.0,397.57,3.0
VOY-10242,9800020,Port of Colombo,Port of Busan,3990.1,273.3,14.6,164000.0,448.15,0.0
VOY-10243,9800020,Port of Cape Town,Port of Los Angeles,10829.9,726.8,14.9,141700.0,1300.78,6.5
