Date,Fuel_Type,Price_Per_Ton,Port
2026-08-03,LNG,533.36,Port of Yokohama
2026-08-03,Bio-Methanol,502.49,Port of Yokohama
2026-08-03,Biofuel (B30),792.7,Port of Yokohama
2026-08-03,Ammonia,738.29,Port of Yokohama
2026-08-03,Hydrogen,1860.84,Port of Yokohama
2026-08-03,VLSFO,616.51,Port of Klang
2026-08-03,LSMGO,776.52,Port of Klang
2026-08-03,LNG,554.98,Port of Klang
2026-08-03,Bio-Methanol,520.08,Port of Klang
2026-08-03,Biofuel (B30),794.07,Port of Klang
2026-08-03,Ammonia,752.79,Port of Klang
2026-08-03,Hydrogen,1860.46,Port of Klang
2026-08-03,VLSFO,604.99,Port of Tanjung Pelepas
2026-08-03,LSMGO,789.57,Port of Tanjung Pelepas
2026-08-03,LNG,531.41,Port of Tanjung Pelepas
2026-08-03,Bio-Methanol,507.03,Port of Tanjung Pelepas
2026-08-03,Biofuel (B30),766.76,Port of Tanjung Pelepas
2026-08-03,Ammonia,736.37,Port of Tanjung Pelepas
2026-08-03,Hydrogen,1864.56,Port of Tanjung Pelepas
2026-08-04,VLSFO,607.96,Port of Singapore
2026-08-04,LSMGO,798.52,Port of Singapore
2026-08-04,LNG,538.65,Port of Singapore
2026-08-04,Bio-Methanol,507.69,Port of Singapore
2026-08-04,Biofuel (B30),793.72,Port of Singapore
2026-08-04,Ammonia,754.86,Port of Singapore
2026-08-04,Hydrogen,1851.67,Port of Singapore
2026-08-04,VLSFO,621.55,Port of Shanghai
2026-08-04,LSMGO,779.64,Port of Shanghai
2026-08-04,LNG,533.9,Port of Shanghai
2026-08-04,Bio-Methanol,524.06,Port of Shanghai
2026-08-04,Biofuel (B30),782.38,Port of Shanghai
2026-08-04,Ammonia,741.27,Port of Shanghai
2026-08-04,Hydrogen,1857.44,Port of Shanghai
2026-08-04,VLSFO,601.71,Port of Ningbo-Zhoushan
2026-08-04,LSMGO,792.53,Port of Ningbo-Zhoushan
2026-08-04,LNG,540.09,Port of Ningbo-Zhoushan
2026-08-04,Bio-Methanol,520.58,Port of Ningbo-Zhoushan
2026-08-04,Biofuel (B30),769.72,Port of Ningbo-Zhoushan
2026-08-04,Ammonia,753.82,Port of Ningbo-Zhoushan
2026-08-04,Hydrogen,1837.4,Port of Ningbo-Zhoushan
2026-08-04,VLSFO,605.57,Port of Shenzhen
2026-08-04,LSMGO,792.85,Port of Shenzhen
2026-08-04,LNG,545.26,Port of Shenzhen
2026-08-04,Bio-Methanol,502.06,Port of Shenzhen
2026-08-04,Biofuel (B30),768.6,Port of Shenzhen
2026-08-04,Ammonia,751.71,Port of Shenzhen
2026-08-04,Hydrogen,1842.39,Port of Shenzhen
2026-08-04,VLSFO,617.84,Port of Busan
2026-08-04,LSMGO,793.58,Port of Busan
2026-08-04,LNG,537.58,Port of Busan
2026-08-04,Bio-Methanol,512.51,Port of Busan
2026-08-04,Biofuel (B30),780.68,Port of Busan
2026-08-04,Ammonia,753.04,Port of Busan
2026-08-04,Hydrogen,1841.13,Port of Busan
2026-08-04,VLSFO,621.49,Port of Hong Kong
2026-08-04,LSMGO,782.16,Port of Hong Kong
2026-08-04,LNG,536.87,Port of Hong Kong
2026-08-04,Bio-Methanol,515.15,Port of Hong Kong
2026-08-04,Biofuel (B30),774.0,Port of Hong Kong
2026-08-04,Ammonia,734.49,Port of Hong Kong
2026-08-04,Hydrogen,1857.56,Port of Hong Kong
2026-08-04,VLSFO,602.18,Port of Tokyo
2026-08-04,LSMGO,788.75,Port of Tokyo
2026-08-04,LNG,554.95,Port of Tokyo
2026-08-04,Bio-Methanol,524.88,Port of Tokyo
2026-08-04,Biofuel (B30),767.2,Port of Tokyo
2026-08-04,Ammonia,731.39,Port of Tokyo
2026-08-04,Hydrogen,1842.96,Port of Tokyo
2026-08-04,VLSFO,628.0,Port of Yokohama
2026-08-04,LSMGO,801.43,Port of Yokohama
2026-08-04,LNG,551.38,Port of Yokohama
2026-08-04,Bio-Methanol,506.09,Port of Yokohama
2026-08-04,Biofuel (B30),769.73,Port of Yokohama
2026-08-04,Ammonia,750.01,Port of Yokohama
2026-08-04,Hydrogen,1856.11,Port of Yokohama
2026-08-04,VLSFO,618.35,Port of Klang
2026-08-04,LSMGO,804.62,Port of Klang
2026-08-04,LNG,544.62,Port of Klang
2026-08-04,Bio-Methanol,495.23,Port of Klang
2026-08-04,Biofuel (B30),789.51,Port of Klang
2026-08-04,Ammonia,733.98,Port of Klang
2026-08-04,Hydrogen,1854.9,Port of Klang
2026-08-04,VLSFO,628.17,Port of Tanjung Pelepas
2026-08-04,LSMGO,779.03,Port of Tanjung Pelepas
2026-08-04,LNG,528.46,Port of Tanjung Pelepas
2026-08-04,Bio-Methanol,498.21,Port of Tanjung Pelepas
2026-08-04,Biofuel (B30),781.6,Port of Tanjung Pelepas
2026-08-04,Ammonia,733.17,Port of Tanjung Pelepas
2026-08-04,Hydrogen,1853.14,Port of Tanjung Pelepas
2026-08-05,VLSFO,621.53,Port of Singapore
2026-08-05,LSMGO,781.11,Port of Singapore
2026-08-05,LNG,544.03,Port of Singapore
2026-08-05,Bio-Methanol,502.92,Port of Singapore
2026-08-05,Biofuel (B30),779.66,Port of Singapore
2026-08-05,Ammonia,752.16,Port of Singapore
2026-08-05,Hydrogen,1860.38,Port of Singapore
2026-08-05,VLSFO,602.77,Port of Shanghai
2026-08-05,LSMGO,787.71,Port of Shanghai
2026-08-05,LNG,533.3,Port of Shanghai
2026-08-05,Bio-Methanol,495.11,Port of Shanghai
2026-08-05,Biofuel (B30),788.13,Port of Shanghai
2026-08-05,Ammonia,744.11,Port of Shanghai
2026-08-05,Hydrogen,1842.86,Port of Shanghai
2026-08-05,VLSFO,622.24,Port of Ningbo-Zhoushan
2026-08-05,LSMGO,791.55,Port of Ningbo-Zhoushan
2026-08-05,LNG,537.83,Port of Ningbo-Zhoushan
2026-08-05,Bio-Methanol,495.29,Port of Ningbo-Zhoushan
2026-08-05,Biofuel (B30),767.26,Port of Ningbo-Zhoushan
2026-08-05,Ammonia,751.49,Port of Ningbo-Zhoushan
2026-08-05,Hydrogen,1862.12,Port of Ningbo-Zhoushan
2026-08-05,VLSFO,616.37,Port of Shenzhen
2026-08-05,LSMGO,800.04,Port of Shenzhen
2026-08-05,LNG,542.48,Port of Shenzhen
2026-08-05,Bio-Methanol,499.44,Port of Shenzhen
2026-08-05,Biofuel (B30),768.82,Port of Shenzhen
2026-08-05,Ammonia,734.25,Port of Shenzhen
2026-08-05,Hydrogen,1861.97,Port of Shenzhen
2026-08-05,VLSFO,623.88,Port of Busan
2026-08-05,LSMGO,800.82,Port of Busan
2026-08-05,LNG,551.97,Port of Busan
2026-08-05,Bio-Methanol,501.3,Port of Busan
2026-08-05,Biofuel (B30),772.49,Port of Busan
2026-08-05,Ammonia,728.08,Port of Busan
2026-08-05,Hydrogen,1858.4,Port of Busan
2026-08-05,VLSFO,626.52,Port of Hong Kong
2026-08-05,LSMGO,787.19,Port of Hong Kong
2026-08-05,LNG,543.62,Port of Hong Kong
2026-08-05,Bio-Methanol,499.64,Port of Hong Kong
2026-08-05,Biofuel (B30),792.9,Port of Hong Kong
2026-08-05,Ammonia,750.94,Port of Hong Kong
2026-08-05,Hydrogen,1864.29,Port of Hong Kong
2026-08-05,VLSFO,624.32,Port of Tokyo
2026-08-05,LSMGO,801.44,Port of Tokyo
2026-08-05,LNG,525.74,Port of Tokyo
2026-08-05,Bio-Methanol,517.1,Port of Tokyo
2026-08-05,Biofuel (B30),774.97,Port of Tokyo
2026-08-05,Ammonia,752.92,Port of Tokyo
2026-08-05,Hydrogen,1859.07,Port of Tokyo
2026-08-05,VLSFO,625.92,Port of Yokohama
2026-08-05,LSMGO,799.32,Port of Yokohama
2026-08-05,LNG,533.0,Port of Yokohama
2026-08-05,Bio-Methanol,518.62,Port of Yokohama
2026-08-05,Biofuel (B30),768.24,Port of Yokohama
2026-08-05,Ammonia,751.17,Port of Yokohama
2026-08-05,Hydrogen,1860.76,Port of Yokohama
2026-08-05,VLSFO,606.67,Port of Klang
2026-08-05,LSMGO,799.5,Port of Klang
2026-08-05,LNG,538.81,Port of Klang
2026-08-05,Bio-Methanol,504.16,Port of Klang
2026-08-05,Biofuel (B30),788.86,Port of Klang
2026-08-05,Ammonia,731.83,Port of Klang
2026-08-05,Hydrogen,1835.71,Port of Klang
2026-08-05,VLSFO,605.79,Port of Tanjung Pelepas
2026-08-05,LSMGO,784.85,Port of Tanjung Pelepas
2026-08-05,LNG,550.93,Port of Tanjung Pelepas
2026-08-05,Bio-Methanol,524.01,Port of Tanjung Pelepas
2026-08-05,Biofuel (B30),773.37,Port of Tanjung Pelepas
2026-08-05,Ammonia,744.24,Port of Tanjung Pelepas
2026-08-05,Hydrogen,1846.99,Port of Tanjung Pelepas
2026-08-06,VLSFO,629.43,Port of Singapore
2026-08-06,LSMGO,791.09,Port of Singapore
2026-08-06,LNG,553.18,Port of Singapore
2026-08-06,Bio-Methanol,498.46,Port of Singapore
2026-08-06,Biofuel (B30),794.11,Port of Singapore
2026-08-06,Ammonia,730.36,Port of Singapore
2026-08-06,Hydrogen,1863.88,Port of Singapore
2026-08-06,VLSFO,607.96,Port of Shanghai
2026-08-06,LSMGO,778.25,Port of Shanghai
2026-08-06,LNG,538.04,Port of Shanghai
2026-08-06,Bio-Methanol,516.86,Port of Shanghai
2026-08-06,Biofuel (B30),774.41,Port of Shanghai
2026-08-06,Ammonia,743.19,Port of Shanghai
2026-08-06,Hydrogen,1850.34,Port of Shanghai
2026-08-06,VLSFO,611.56,Port of Ningbo-Zhoushan
2026-08-06,LSMGO,792.3,Port of Ningbo-Zhoushan
2026-08-06,LNG,532.64,Port of Ningbo-Zhoushan
2026-08-06,Bio-Methanol,516.26,Port of Ningbo-Zhoushan
2026-08-06,Biofuel (B30),765.05,Port of Ningbo-Zhoushan
2026-08-06,Ammonia,752.77,Port of Ningbo-Zhoushan
2026-08-06,Hydrogen,1851.15,Port of Ningbo-Zhoushan
2026-08-06,VLSFO,621.58,Port of Shenzhen
2026-08-06,LSMGO,797.26,Port of Shenzhen
2026-08-06,LNG,545.12,Port of Shenzhen
2026-08-06,Bio-Methanol,505.93,Port of Shenzhen
2026-08-06,Biofuel (B30),767.1,Port of Shenzhen
2026-08-06,Ammonia,744.93,Port of Shenzhen
2026-08-06,Hydrogen,1844.91,Port of Shenzhen
2026-08-06,VLSFO,609.42,Port of Busan
2026-08-06,LSMGO,800.44,Port of Busan
2026-08-06,LNG,546.59,Port of Busan
2026-08-06,Bio-Methanol,504.01,Port of Busan
2026-08-06,Biofuel (B30),774.28,Port of Busan
2026-08-06,Ammonia,737.25,Port of Busan
2026-08-06,Hydrogen,1847.07,Port of Busan
2026-08-06,VLSFO,608.87,Port of Hong Kong
2026-08-06,LSMGO,778.82,Port of Hong Kong
2026-08-06,LNG,537.61,Port of Hong Kong
2026-08-06,Bio-Methanol,523.21,Port of Hong Kong
2026-08-06,Biofuel (B30),785.32,Port of Hong Kong
2026-08-06,Ammonia,752.08,Port of Hong Kong
2026-08-06,Hydrogen,1853.47,Port of Hong Kong
2026-08-06,VLSFO,609.03,Port of Tokyo
2026-08-06,LSMGO,791.44,Port of Tokyo
2026-08-06,LNG,525.01,Port of Tokyo
2026-08-06,Bio-Methanol,503.61,Port of Tokyo
2026-08-06,Biofuel (B30),777.9,Port of Tokyo
2026-08-06,Ammonia,742.4,Port of Tokyo
2026-08-06,Hydrogen,1854.64,Port of Tokyo
2026-08-06,VLSFO,613.95,Port of Yokohama
2026-08-06,LSMGO,788.26,Port of Yokohama
2026-08-06,LNG,531.41,Port of Yokohama
2026-08-06,Bio-Methanol,509.2,Port of Yokohama
2026-08-06,Biofuel (B30),792.04,Port of Yokohama
2026-08-06,Ammonia,748.88,Port of Yokohama
2026-08-06,Hydrogen,1840.09,Port of Yokohama
2026-08-06,VLSFO,602.54,Port of Klang
2026-08-06,LSMGO,790.46,Port of Klang
2026-08-06,LNG,543.99,Port of Klang
2026-08-06,Bio-Methanol,505.06,Port of Klang
2026-08-06,Biofuel (B30),789.55,Port of Klang
2026-08-06,Ammonia,747.53,Port of Klang
2026-08-06,Hydrogen,1855.18,Port of Klang
2026-08-06,VLSFO,606.74,Port of Tanjung Pelepas
2026-08-06,LSMGO,780.97,Port of Tanjung Pelepas
2026-08-06,LNG,525.73,Port of Tanjung Pelepas
2026-08-06,Bio-Methanol,502.35,Port of Tanjung Pelepas
2026-08-06,Biofuel (B30),779.25,Port of Tanjung Pelepas
2026-08-06,Ammonia,750.49,Port of Tanjung Pelepas
2026-08-06,Hydrogen,1837.18,Port of Tanjung Pelepas
2026-08-07,VLSFO,612.43,Port of Singapore
2026-08-07,LSMGO,793.89,Port of Singapore
2026-08-07,LNG,530.83,Port of Singapore
2026-08-07,Bio-Methanol,515.89,Port of Singapore
2026-08-07,Biofuel (B30),779.83,Port of Singapore
2026-08-07,Ammonia,732.32,Port of Singapore
2026-08-07,Hydrogen,1854.68,Port of Singapore
2026-08-07,VLSFO,600.17,Port of Shanghai
2026-08-07,LSMGO,797.53,Port of Shanghai
2026-08-07,LNG,548.1,Port of Shanghai
2026-08-07,Bio-Methanol,498.2,Port of Shanghai
2026-08-07,Biofuel (B30),777.75,Port of Shanghai
2026-08-07,Ammonia,730.28,Port of Shanghai
2026-08-07,Hydrogen,1863.74,Port of Shanghai
2026-08-07,VLSFO,615.54,Port of Ningbo-Zhoushan
2026-08-07,LSMGO,776.51,Port of Ningbo-Zhoushan
2026-08-07,LNG,532.48,Port of Ningbo-Zhoushan
2026-08-07,Bio-Methanol,520.45,Port of Ningbo-Zhoushan
2026-08-07,Biofuel (B30),778.69,Port of Ningbo-Zhoushan
2026-08-07,Ammonia,749.04,Port of Ningbo-Zhoushan
2026-08-07,Hydrogen,1855.03,Port of Ningbo-Zhoushan
2026-08-07,VLSFO,629.64,Port of Shenzhen
2026-08-07,LSMGO,792.86,Port of Shenzhen
2026-08-07,LNG,553.5,Port of Shenzhen
2026-08-07,Bio-Methanol,521.74,Port of Shenzhen
2026-08-07,Biofuel (B30),783.38,Port of Shenzhen
2026-08-07,Ammonia,746.58,Port of Shenzhen
2026-08-07,Hydrogen,1850.14,Port of Shenzhen
2026-08-07,VLSFO,624.92,Port of Busan
2026-08-07,LSMGO,791.44,Port of Busan
2026-08-07,LNG,551.92,Port of Busan
2026-08-07,Bio-Methanol,517.31,Port of Busan
2026-08-07,Biofuel (B30),779.24,Port of Busan
2026-08-07,Ammonia,732.78,Port of Busan
2026-08-07,Hydrogen,1842.42,Port of Busan
2026-08-07,VLSFO,619.13,Port of Hong Kong
2026-08-07,LSMGO,797.97,Port of Hong Kong
2026-08-07,LNG,540.64,Port of Hong Kong
2026-08-07,Bio-Methanol,513.8,Port of Hong Kong
2026-08-07,Biofuel (B30),773.24,Port of Hong Kong
2026-08-07,Ammonia,727.32,Port of Hong Kong
2026-08-07,Hydrogen,1843.57,Port of Hong Kong
2026-08-07,VLSFO,608.15,Port of Tokyo
2026-08-07,LSMGO,784.59,Port of Tokyo
2026-08-07,LNG,541.2,Port of Tokyo
2026-08-07,Bio-Methanol,499.15,Port of Tokyo
2026-08-07,Biofuel (B30),771.94,Port of Tokyo
2026-08-07,Ammonia,745.82,Port of Tokyo
2026-08-07,Hydrogen,1856.19,Port of Tokyo
2026-08-07,VLSFO,601.93,Port of Yokohama
2026-08-07,LSMGO,787.23,Port of Yokohama
2026-08-07,LNG,541.28,Port of Yokohama
2026-08-07,Bio-Methanol,507.47,Port of Yokohama
2026-08-07,Biofuel (B30),771.21,Port of Yokohama
2026-08-07,Ammonia,737.6,Port of Yokohama
2026-08-07,Hydrogen,1862.15,Port of Yokohama
2026-08-07,VLSFO,617.52,Port of Klang
2026-08-07,LSMGO,795.87,Port of Klang
2026-08-07,LNG,550.7,Port of Klang
2026-08-07,Bio-Methanol,517.97,Port of Klang
2026-08-07,Biofuel (B30),776.41,Port of Klang
2026-08-07,Ammonia,725.18,Port of Klang
2026-08-07,Hydrogen,1845.55,Port of Klang
2026-08-07,VLSFO,622.6,Port of Tanjung Pelepas
2026-08-07,LSMGO,800.6,Port of Tanjung Pelepas
2026-08-07,LNG,553.6,Port of Tanjung Pelepas
2026-08-07,Bio-Methanol,507.57,Port of Tanjung Pelepas
2026-08-07,Biofuel (B30),787.43,Port of Tanjung Pelepas
2026-08-07,Ammonia,741.38,Port of Tanjung Pelepas
2026-08-07,Hydrogen,1853.1,Port of Tanjung Pelepas
2026-08-08,VLSFO,606.62,Port of Singapore
2026-08-08,LSMGO,781.58,Port of Singapore
2026-08-08,LNG,538.08,Port of Singapore
2026-08-08,Bio-Methanol,495.87,Port of Singapore
2026-08-08,Biofuel (B30),775.08,Port of Singapore
2026-08-08,Ammonia,745.37,Port of Singapore
2026-08-08,Hydrogen,1847.13,Port of Singapore
2026-08-08,VLSFO,604.95,Port of Shanghai
2026-08-08,LSMGO,789.02,Port of Shanghai
2026-08-08,LNG,528.83,Port of Shanghai
2026-08-08,Bio-Methanol,513.67,Port of Shanghai
2026-08-08,Biofuel (B30),765.81,Port of Shanghai
2026-08-08,Ammonia,736.82,Port of Shanghai
